full_name,hits,homeruns,rbi,runs,stolen_bases,walks,strikeouts,games_played,at_bats,batting_average,on_base_plus_slugging
Tony Gonzalez,219,11,105,98,6,76,84.0,260,836,0.2585,0.6655
Tony Graffanino,746,58,302,442,53,275,486.0,981,2810,0.25161538461538463,0.692
Tony Gwynn,3522,142,1236,1575,399,951,731.0,3125,10888,0.3047142857142857,0.7675
Tony Horton,111,17,59,48,3,30,54.0,115,413,0.269,0.774
Tony Johnson,23,3,14,17,3,11,26.0,72,99,0.1175,0.338
Tony Kemp,460,35,184,262,53,227,298.0,739,1945,0.20866666666666667,0.594
Tony La Russa,23,0,6,11,0,16,24.0,85,121,0.11033333333333334,0.29233333333333333
Tony Longmire,73,3,37,32,3,21,47.0,139,256,0.27466666666666667,0.6656666666666667
Tony McKnight,0,0,0,1,0,2,16.0,21,37,0.0,0.0385
Tony Menendez,0,0,0,0,0,0,1.0,23,1,0.0,0.0
Tony Mounce,0,0,0,0,0,0,1.0,11,2,0.0,0.0
Tony Muser,328,7,116,123,14,94,137.0,661,1259,0.254,0.63775
Tony Oliva,823,88,412,325,11,180,249.0,764,2751,0.2914285714285714,0.7467142857142858
Tony Pena,189,4,66,95,8,20,150.0,327,829,0.19025,0.47250000000000003
Tony Perez,2054,282,1249,932,41,740,1422.0,2086,7361,0.27558823529411763,0.7879411764705884
Tony Perezchica,23,0,5,10,0,10,26.0,69,101,0.20725000000000002,0.5672499999999999
Tony Peña,1687,107,708,667,80,455,846.0,1988,6489,0.26261111111111113,0.6735555555555557
Tony Phillips,2023,160,819,1300,177,1319,1499.0,2161,7617,0.25983333333333336,0.7478333333333333
Tony Renda,11,0,3,5,0,5,11.0,33,60,0.0915,0.2315
Tony Rodriguez,16,1,9,7,0,4,8.0,27,67,0.239,0.591
Tony Sanchez,37,4,18,14,0,7,46.0,52,144,0.21875,0.54175
Tony Santillan,1,0,0,1,0,0,2.0,30,7,0.0715,0.2145
Tony Saunders,5,1,1,2,0,2,19.0,53,39,0.5405,1.145
Tony Scott,699,17,253,331,125,186,464.0,991,2803,0.2240909090909091,0.5595454545454546
Tony Scruggs,0,0,0,1,0,0,1.0,5,6,0.0,0.0
Tony Sipp,0,0,0,0,0,0,0.0,616,1,0.0,0.0
Tony Solaita,336,50,203,164,2,214,344.0,524,1315,0.254,0.7678333333333334
Tony Tarasco,241,34,118,151,39,106,171.0,457,1006,0.226625,0.66025
Tony Taylor,393,22,156,198,33,126,182.0,544,1420,0.27599999999999997,0.7252857142857142
Tony Torcato,14,0,3,2,0,2,8.0,43,47,0.3225,0.71675
